# power spectrum of T00_kessence
# redshift z=9.995120
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   3.266120e-13   0.000000e+00   7.348869e-14   6
  2.776802e-02   9.159387e-14   0.000000e+00   1.718455e-14   12
  3.400874e-02   4.389904e-14   3.725290e-10   7.321658e-15   8
  3.926991e-02   4.530369e-14   0.000000e+00   1.254064e-14   6
  4.390509e-02   4.517219e-14   7.024475e-10   9.909400e-15   24
  4.809562e-02   2.507456e-14   7.024475e-10   4.518312e-15   24
  5.553604e-02   3.000323e-14   0.000000e+00   6.438304e-15   12
  5.890486e-02   1.706527e-14   7.947286e-10   2.137778e-15   30
  6.209118e-02   9.196581e-15   0.000000e+00   2.558016e-15   24
  6.512178e-02   1.195430e-14   1.216675e-09   2.956086e-15   24
  6.801748e-02   1.068152e-14   7.450581e-10   2.396328e-15   8
  7.079483e-02   6.315717e-15   9.934107e-10   1.765493e-15   24
  7.346727e-02   1.436869e-14   0.000000e+00   1.891274e-15   48
  7.853982e-02   7.719117e-15   0.000000e+00   3.782851e-16   6
  8.095699e-02   8.208131e-15   9.934107e-10   9.719296e-16   48
  8.330406e-02   1.222382e-14   9.365966e-10   1.610732e-15   36
  8.558678e-02   1.256137e-14   9.934107e-10   3.699759e-15   24
  8.781018e-02   5.593663e-15   1.404895e-09   1.098874e-15   24
  8.997866e-02   6.530811e-15   0.000000e+00   7.863655e-16   48
  9.209610e-02   1.010100e-14   1.404895e-09   1.777049e-15   24
  9.619124e-02   1.053991e-14   1.404895e-09   2.453053e-15   24
  9.817477e-02   4.626045e-15   0.000000e+00   7.869217e-16   30
  1.001190e-01   6.226399e-15   0.000000e+00   6.772798e-16   72
  1.020262e-01   6.253063e-15   1.490116e-09   9.654303e-16   32
  1.057375e-01   3.775583e-15   0.000000e+00   4.321921e-16   72
  1.075451e-01   4.498347e-15   0.000000e+00   6.489420e-16   48
  1.110721e-01   1.986317e-15   0.000000e+00   4.086667e-16   12
  1.127942e-01   3.839568e-15   0.000000e+00   4.024854e-16   48
  1.144905e-01   3.570174e-15   0.000000e+00   3.011437e-16   48
  1.161620e-01   3.276041e-15   1.404895e-09   5.076937e-16   48
  1.178097e-01   3.700797e-15   1.589457e-09   5.035944e-16   30
  1.194348e-01   2.472365e-15   0.000000e+00   5.644098e-16   24
  1.210380e-01   2.690943e-15   2.961779e-09   2.651734e-16   72
  1.241824e-01   3.095594e-15   0.000000e+00   6.002487e-16   24
  1.257251e-01   3.355689e-15   0.000000e+00   3.381501e-16   96
  1.272490e-01   3.260492e-15   0.000000e+00   4.674602e-16   48
  1.287550e-01   4.650622e-15   2.433349e-09   7.932428e-16   24
  1.302436e-01   3.299585e-15   2.433349e-09   4.164869e-16   24
  1.317153e-01   3.260124e-15   0.000000e+00   3.058397e-16   72
  1.331707e-01   1.971881e-15   0.000000e+00   2.219629e-16   48
  1.360350e-01   1.635864e-15   1.490116e-09   3.676252e-16   8
  1.374447e-01   2.477628e-15   1.766064e-09   3.067973e-16   54
  1.388401e-01   1.974973e-15   0.000000e+00   2.086228e-16   84
  1.402216e-01   2.358793e-15   0.000000e+00   4.586435e-16   48
  1.415897e-01   2.452266e-15   1.986821e-09   4.526894e-16   24
  1.429446e-01   3.220377e-15   2.649095e-09   4.979717e-16   72
  1.442869e-01   2.004894e-15   0.000000e+00   1.825044e-16   96
  1.469345e-01   1.480644e-15   0.000000e+00   2.206182e-16   48
  1.482407e-01   1.512292e-15   0.000000e+00   1.844269e-16   48
  1.495354e-01   1.854942e-15   0.000000e+00   4.617611e-16   24
  1.508189e-01   2.115181e-15   0.000000e+00   2.086309e-16   72
  1.533539e-01   1.304618e-15   0.000000e+00   1.418642e-16   72
  1.546058e-01   1.788705e-15   0.000000e+00   1.716364e-16   96
  1.570796e-01   9.852132e-16   0.000000e+00   1.576586e-16   6
  1.583021e-01   1.526173e-15   0.000000e+00   1.409859e-16   96
  1.595151e-01   1.806554e-15   1.986821e-09   2.003263e-16   96
  1.607190e-01   1.244330e-15   0.000000e+00   1.845924e-16   24
  1.619140e-01   1.598336e-15   1.986821e-09   3.028955e-16   48
  1.631002e-01   1.465134e-15   0.000000e+00   1.395615e-16   96
  1.642778e-01   1.327777e-15   0.000000e+00   1.730962e-16   48
  1.666081e-01   1.293365e-15   1.873193e-09   2.461205e-16   36
  1.677611e-01   1.578294e-15   3.441276e-09   2.771216e-16   48
  1.689063e-01   1.656918e-15   3.893359e-09   1.285133e-16   120
  1.700437e-01   1.345701e-15   0.000000e+00   1.789240e-16   56
