# power spectrum of delta
# redshift z=100.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  2.094395e-02   9.269679e-07   0.000000e+00   2.317396e-07   6
  2.961922e-02   2.338271e-06   0.000000e+00   8.120926e-07   12
  3.627599e-02   6.988335e-06   3.973643e-10   2.035220e-06   8
  4.188790e-02   3.961627e-06   0.000000e+00   9.848743e-07   6
  4.683210e-02   1.549431e-05   0.000000e+00   2.001219e-06   24
  5.130199e-02   1.136905e-05   7.492773e-10   3.261775e-06   24
  5.923844e-02   1.264007e-05   0.000000e+00   2.672125e-06   12
  6.283185e-02   2.402319e-05   8.477105e-10   4.626358e-06   30
  6.623059e-02   2.853035e-05   0.000000e+00   5.593411e-06   24
  6.946323e-02   2.238693e-05   1.297786e-09   4.108862e-06   24
  7.255197e-02   1.948852e-05   7.947286e-10   3.697322e-06   8
  7.551449e-02   3.757848e-05   1.059638e-09   1.085912e-05   24
  7.836509e-02   4.564754e-05   0.000000e+00   5.898575e-06   48
  8.377580e-02   2.281149e-05   0.000000e+00   5.384437e-06   6
  8.635412e-02   3.641505e-05   1.498555e-09   7.912026e-06   48
  8.885766e-02   3.008611e-05   0.000000e+00   7.408333e-06   36
  9.129257e-02   4.741783e-05   1.059638e-09   1.455018e-05   24
  9.366420e-02   3.212686e-05   0.000000e+00   7.380676e-06   24
  9.597724e-02   5.838538e-05   0.000000e+00   9.354896e-06   48
  9.823584e-02   4.704672e-05   1.498555e-09   1.193167e-05   24
  1.026040e-01   6.901933e-05   1.498555e-09   1.217276e-05   24
  1.047198e-01   3.744877e-05   0.000000e+00   6.779135e-06   30
  1.067936e-01   4.198482e-05   0.000000e+00   7.061820e-06   72
  1.088280e-01   7.651908e-05   1.589457e-09   1.193990e-05   32
  1.127866e-01   7.431596e-05   0.000000e+00   9.962385e-06   72
  1.147147e-01   5.283216e-05   0.000000e+00   1.216663e-05   48
  1.184769e-01   4.915216e-05   0.000000e+00   9.937189e-06   12
  1.212185e-01   6.522191e-05   9.046661e-04   6.151422e-06   96
  1.239061e-01   5.488315e-05   1.498555e-09   1.069879e-05   48
  1.256637e-01   7.759023e-05   1.695421e-09   1.728788e-05   30
  1.286797e-01   6.903922e-05   7.404969e-04   6.262282e-06   96
  1.324612e-01   5.171784e-05   0.000000e+00   1.268295e-05   24
  1.346486e-01   9.531980e-05   7.663130e-04   8.758880e-06   144
  1.373387e-01   1.172018e-04   2.595573e-09   2.171937e-05   24
  1.401038e-01   9.139018e-05   6.797608e-04   1.243571e-05   96
  1.420488e-01   7.146983e-05   0.000000e+00   1.330870e-05   48
  1.464136e-01   8.770085e-05   5.040965e-04   1.738991e-05   62
  1.486320e-01   9.248693e-05   7.088830e-04   8.033022e-06   132
  1.510290e-01   6.170142e-05   2.119276e-09   1.470193e-05   24
  1.532924e-01   9.770451e-05   7.085150e-04   8.097362e-06   168
  1.574268e-01   7.381133e-05   6.965923e-04   8.185616e-06   96
  1.605312e-01   1.208472e-04   5.928643e-04   1.223948e-05   96
  1.643405e-01   9.603090e-05   6.608262e-04   7.459518e-06   168
  1.675516e-01   2.289368e-05   0.000000e+00   4.514458e-06   6
  1.688555e-01   1.041386e-04   0.000000e+00   1.269872e-05   96
  1.704063e-01   1.280228e-04   5.136660e-04   1.279028e-05   120
  1.735518e-01   1.069599e-04   5.964581e-04   9.289359e-06   144
  1.752297e-01   1.059900e-04   0.000000e+00   1.942396e-05   48
  1.784181e-01   8.070622e-05   6.086320e-04   1.008822e-05   84
  1.801667e-01   1.306188e-04   4.152916e-09   1.140057e-05   120
  1.817415e-01   1.263099e-04   5.522900e-04   1.491008e-05   80
  1.841789e-01   1.238855e-04   5.607558e-04   1.057901e-05   144
  1.873284e-01   9.439168e-05   0.000000e+00   1.711382e-05   24
  1.888668e-01   1.196546e-04   5.411047e-04   9.385609e-06   150
  1.912669e-01   1.316653e-04   5.614266e-04   1.259111e-05   120
  1.939026e-01   1.640851e-04   5.116222e-04   1.498742e-05   168
  1.964717e-01   1.623197e-04   2.997109e-09   2.624260e-05   24
  1.980880e-01   1.632656e-04   5.511715e-04   1.222243e-05   264
  1.997926e-01   1.656288e-04   2.997109e-09   2.737682e-05   48
  2.026981e-01   1.239476e-04   5.105263e-04   1.077687e-05   144
  2.059187e-01   1.446563e-04   5.025279e-04   2.135053e-05   72
  2.077566e-01   1.320590e-04   5.169131e-04   1.072609e-05   180
  2.103258e-01   1.586816e-04   3.745390e-04   1.321889e-05   198
  2.115235e-01   1.182864e-04   0.000000e+00   1.436917e-05   48
  2.141726e-01   1.297339e-04   5.069490e-04   1.048547e-05   168
  2.161385e-01   1.280215e-04   5.073703e-04   1.327086e-05   144
  2.191126e-01   1.554569e-04   7.128833e-04   1.046732e-05   248
  2.231287e-01   1.347442e-04   4.914754e-04   9.571642e-06   192
  2.258635e-01   1.780772e-04   7.591556e-04   1.122149e-05   240
  2.275095e-01   1.529194e-04   0.000000e+00   2.286435e-05   72
  2.300200e-01   1.771944e-04   4.632692e-04   1.713757e-05   126
  2.316038e-01   1.623893e-04   4.274285e-04   1.185098e-05   168
  2.346279e-01   1.752045e-04   4.673881e-04   1.109285e-05   288
  2.378065e-01   1.470954e-04   2.461643e-04   1.195103e-05   156
  2.394526e-01   1.374242e-04   4.141199e-04   1.188665e-05   168
  2.419488e-01   1.902337e-04   7.099355e-04   1.124290e-05   264
  2.442463e-01   1.696463e-04   0.000000e+00   2.439263e-05   48
