# power spectrum of rho_N
# redshift z=100.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  2.094395e-02   1.299115e+05   0.000000e+00   4.444153e+04   6
  2.961922e-02   1.956079e+05   0.000000e+00   3.320072e+04   12
  3.627599e-02   2.454924e+05   3.973643e-10   4.254508e+04   8
  4.188790e-02   1.172383e+06   0.000000e+00   1.073961e+05   6
  4.683210e-02   1.094772e+06   0.000000e+00   2.971011e+05   24
  5.130199e-02   2.021337e+06   7.492773e-10   2.900560e+05   24
  5.923844e-02   1.386004e+06   0.000000e+00   5.309247e+05   12
  6.283185e-02   1.932383e+06   8.477105e-10   3.025343e+05   30
  6.623059e-02   2.842365e+06   0.000000e+00   5.332390e+05   24
  6.946323e-02   2.992266e+06   1.297786e-09   6.316313e+05   24
  7.255197e-02   3.962423e+06   7.947286e-10   6.825341e+05   8
  7.551449e-02   3.747364e+06   1.059638e-09   3.966725e+05   24
  7.836509e-02   3.886756e+06   0.000000e+00   4.650435e+05   48
  8.377580e-02   5.410167e+06   0.000000e+00   2.026458e+06   6
  8.635412e-02   4.645768e+06   1.498555e-09   5.556166e+05   48
  8.885766e-02   4.596062e+06   0.000000e+00   4.071886e+05   36
  9.129257e-02   7.030551e+06   1.059638e-09   1.251165e+06   24
  9.366420e-02   4.368880e+06   0.000000e+00   6.390413e+05   24
  9.597724e-02   4.137869e+06   0.000000e+00   4.781622e+05   48
  9.823584e-02   6.781401e+06   1.498555e-09   8.204335e+05   24
  1.026040e-01   6.051666e+06   1.498555e-09   8.081865e+05   24
  1.047198e-01   4.361582e+06   0.000000e+00   6.075009e+05   30
  1.067936e-01   4.940610e+06   0.000000e+00   4.638982e+05   72
  1.088280e-01   5.091995e+06   1.589457e-09   8.837689e+05   32
  1.127866e-01   7.643746e+06   0.000000e+00   7.537642e+05   72
  1.147147e-01   4.921583e+06   0.000000e+00   6.123369e+05   48
  1.184769e-01   2.927874e+06   0.000000e+00   7.401422e+05   12
  1.203138e-01   6.123147e+06   0.000000e+00   7.792707e+05   48
  1.221232e-01   5.704189e+06   0.000000e+00   4.805789e+05   48
  1.239061e-01   7.945012e+06   1.498555e-09   8.533766e+05   48
  1.256637e-01   1.005566e+07   1.695421e-09   1.497918e+06   30
  1.273971e-01   9.303122e+06   1.498555e-09   1.782318e+06   24
  1.291072e-01   1.006700e+07   3.159231e-09   8.607890e+05   72
  1.324612e-01   6.433650e+06   0.000000e+00   1.040041e+06   24
  1.341067e-01   1.026000e+07   0.000000e+00   8.627762e+05   96
  1.357323e-01   8.197667e+06   0.000000e+00   9.276364e+05   48
  1.373387e-01   7.089496e+06   2.595573e-09   1.474171e+06   24
  1.389265e-01   5.270554e+06   2.595573e-09   9.222370e+05   24
  1.404963e-01   1.305220e+07   0.000000e+00   1.350256e+06   72
  1.420488e-01   1.003872e+07   0.000000e+00   1.311647e+06   48
  1.451039e-01   9.200007e+06   1.589457e-09   2.322082e+06   8
  1.466077e-01   1.381757e+07   1.883801e-09   1.403319e+06   54
  1.480961e-01   9.531284e+06   0.000000e+00   1.411637e+06   84
  1.495697e-01   1.073002e+07   0.000000e+00   1.308762e+06   48
  1.510290e-01   6.805724e+06   2.119276e-09   1.027624e+06   24
  1.524743e-01   9.213833e+06   1.998073e-09   9.261668e+05   72
  1.539060e-01   1.237538e+07   0.000000e+00   1.198834e+06   96
  1.567302e-01   1.748841e+07   0.000000e+00   1.616806e+06   48
  1.581234e-01   9.774504e+06   0.000000e+00   7.802798e+05   48
  1.595044e-01   8.629557e+06   2.119276e-09   1.426908e+06   24
  1.608735e-01   1.000287e+07   0.000000e+00   9.150678e+05   72
  1.635775e-01   1.082366e+07   1.998073e-09   1.086917e+06   72
  1.649128e-01   1.073397e+07   0.000000e+00   1.038051e+06   96
  1.675516e-01   1.532203e+07   0.000000e+00   5.737754e+06   6
  1.688555e-01   1.289576e+07   0.000000e+00   1.061516e+06   96
  1.701495e-01   1.353433e+07   2.119276e-09   1.228518e+06   96
  1.714336e-01   9.207502e+06   0.000000e+00   1.858157e+06   24
  1.727082e-01   1.051029e+07   2.997109e-09   1.107659e+06   48
  1.739735e-01   1.081183e+07   0.000000e+00   9.289807e+05   96
  1.752297e-01   1.289368e+07   0.000000e+00   1.474691e+06   48
  1.777153e-01   1.188362e+07   0.000000e+00   1.877079e+06   36
  1.789452e-01   1.220186e+07   3.670694e-09   1.307370e+06   48
  1.801667e-01   1.378951e+07   4.152916e-09   1.048141e+06   120
  1.813799e-01   1.265242e+07   0.000000e+00   1.418395e+06   56
  1.825851e-01   7.232107e+06   2.119276e-09   1.076026e+06   24
  1.837824e-01   1.066485e+07   0.000000e+00   8.034889e+05   96
  1.849720e-01   1.155791e+07   0.000000e+00   1.259548e+06   48
  1.873284e-01   1.456968e+07   0.000000e+00   2.289589e+06   24
  1.884956e-01   1.615625e+07   0.000000e+00   1.372082e+06   102
  1.896555e-01   1.695105e+07   0.000000e+00   2.172658e+06   48
  1.908085e-01   1.583756e+07   0.000000e+00   1.333549e+06   72
  1.919545e-01   1.469392e+07   0.000000e+00   1.256044e+06   48
  1.930937e-01   1.598961e+07   0.000000e+00   2.516780e+06   48
  1.942262e-01   1.390873e+07   4.795375e-09   1.037864e+06   120
  1.964717e-01   2.271458e+07   2.997109e-09   3.189936e+06   24
  1.975848e-01   1.333592e+07   2.825702e-09   9.497624e+05   144
  1.986918e-01   1.388913e+07   3.390842e-09   1.133705e+06   120
  1.997926e-01   1.095297e+07   2.997109e-09   1.307017e+06   48
  2.019761e-01   1.691040e+07   2.997109e-09   1.912223e+06   48
  2.030591e-01   1.391281e+07   2.997109e-09   1.223369e+06   96
  2.059187e-01   1.902298e+07   5.025279e-04   1.969726e+06   72
  2.073345e-01   1.423696e+07   3.767602e-09   9.213776e+05   108
  2.083897e-01   1.704277e+07   0.000000e+00   1.535495e+06   72
  2.094395e-01   1.040553e+07   0.000000e+00   1.648237e+06   30
  2.104841e-01   1.774601e+07   0.000000e+00   1.190641e+06   168
  2.115235e-01   1.767822e+07   0.000000e+00   1.636570e+06   48
  2.135872e-01   1.239213e+07   0.000000e+00   1.228751e+06   72
  2.146116e-01   1.638068e+07   0.000000e+00   1.342703e+06   96
  2.156312e-01   1.621599e+07   5.651403e-09   2.107841e+06   72
  2.166459e-01   1.920131e+07   0.000000e+00   1.719037e+06   72
  2.183519e-01   1.747936e+07   4.640051e-04   1.087113e+06   104
  2.196620e-01   1.681797e+07   3.996146e-09   1.037163e+06   144
  2.226373e-01   1.202449e+07   6.701740e-09   9.574352e+05   96
  2.236202e-01   1.342309e+07   0.000000e+00   1.172315e+06   96
  2.251835e-01   1.850226e+07   4.773581e-04   1.447969e+06   120
  2.265435e-01   1.559711e+07   0.000000e+00   1.194802e+06   120
  2.275095e-01   1.893667e+07   0.000000e+00   1.739161e+06   72
  2.294295e-01   1.916624e+07   0.000000e+00   2.150631e+06   48
  2.303835e-01   2.075460e+07   4.517777e-09   2.005769e+06   78
  2.316038e-01   2.173952e+07   4.274285e-04   1.451586e+06   168
  2.341605e-01   2.060479e+07   3.996146e-09   1.500091e+06   144
  2.350953e-01   2.151119e+07   3.996146e-09   1.298982e+06   144
  2.378065e-01   2.000931e+07   2.461643e-04   1.441579e+06   156
  2.387978e-01   1.471787e+07   5.191145e-09   2.331194e+06   48
  2.397145e-01   1.849266e+07   3.390842e-09   1.528807e+06   120
  2.406277e-01   1.345955e+07   0.000000e+00   1.198796e+06   48
  2.422424e-01   2.036400e+07   3.767994e-04   1.168305e+06   216
  2.442463e-01   1.845153e+07   0.000000e+00   1.920097e+06   48
  2.451427e-01   1.720220e+07   2.997109e-09   1.271894e+06   96
  2.464171e-01   1.997440e+07   4.403490e-04   1.479288e+06   168
  2.478122e-01   1.625779e+07   2.997109e-09   1.961442e+06   48
  2.486956e-01   2.167333e+07   0.000000e+00   1.826633e+06   96
  2.495760e-01   2.129252e+07   0.000000e+00   3.261017e+06   48
  2.513274e-01   2.513673e+07   3.390842e-09   2.119436e+06   30
  2.521986e-01   1.614369e+07   2.997109e-09   1.106386e+06   96
  2.532398e-01   2.008752e+07   3.460752e-04   1.156150e+06   240
  2.545786e-01   2.815753e+07   3.733652e-04   3.291041e+06   32
  2.556535e-01   1.617028e+07   0.000000e+00   1.003870e+06   168
  2.565100e-01   1.933504e+07   0.000000e+00   1.601329e+06   120
  2.582144e-01   1.562104e+07   6.318461e-09   1.478491e+06   72
  2.590624e-01   2.579833e+07   3.996146e-09   1.991917e+06   144
  2.599076e-01   1.865255e+07   0.000000e+00   1.604673e+06   96
  2.607501e-01   2.494657e+07   0.000000e+00   1.680228e+06   96
  2.624270e-01   2.473396e+07   4.894259e-09   2.531478e+06   72
  2.632614e-01   2.095446e+07   4.238553e-09   1.716970e+06   96
  2.649224e-01   2.065919e+07   0.000000e+00   3.222977e+06   24
  2.657489e-01   2.424292e+07   0.000000e+00   1.505327e+06   192
  2.667223e-01   2.315592e+07   3.168444e-04   1.439884e+06   132
  2.682134e-01   2.505806e+07   0.000000e+00   1.893764e+06   96
  2.690299e-01   1.848225e+07   0.000000e+00   1.566984e+06   96
  2.698439e-01   2.453426e+07   3.390842e-09   1.745358e+06   120
  2.714646e-01   2.621611e+07   0.000000e+00   3.011294e+06   48
  2.727931e-01   1.708923e+07   3.839899e-04   9.381972e+05   222
  2.738777e-01   2.244939e+07   0.000000e+00   1.778238e+06   120
  2.746773e-01   2.521151e+07   5.191145e-09   4.289839e+06   24
  2.758416e-01   2.669257e+07   3.963334e-04   1.191885e+06   312
  2.783784e-01   3.003068e+07   3.715784e-04   2.811229e+06   72
