# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
      0   4.311646e+01   2.500000e-01   2.107886e-01   0.000000e+00   3.208026e-01
      1   4.335737e+01   2.604244e-01   2.199129e-01   -3.813469e-05   3.209549e-01
      2   4.358827e+01   2.712865e-01   2.295601e-01   -7.119832e-05   3.212311e-01
      3   4.380947e+01   2.826046e-01   2.397495e-01   -1.001979e-04   3.216611e-01
      4   4.402128e+01   2.943976e-01   2.505012e-01   -1.245515e-04   3.217897e-01
      5   4.422399e+01   3.066852e-01   2.618370e-01   -1.453965e-04   3.221504e-01
      6   4.441792e+01   3.194879e-01   2.737801e-01   -1.625403e-04   3.222854e-01
      7   4.460339e+01   3.328271e-01   2.863549e-01   -1.765837e-04   3.224996e-01
      8   4.478072e+01   3.467253e-01   2.995875e-01   -1.878844e-04   3.227162e-01
      9   4.495022e+01   3.612055e-01   3.135056e-01   -1.969973e-04   3.230873e-01
     10   4.511219e+01   3.762921e-01   3.281383e-01   -2.038420e-04   3.232318e-01
     11   4.526694e+01   3.920103e-01   3.435167e-01   -2.087153e-04   3.233780e-01
     12   4.541476e+01   4.083864e-01   3.596734e-01   -2.120372e-04   3.236782e-01
     13   4.555595e+01   4.254479e-01   3.766430e-01   -2.142015e-04   3.242080e-01
     14   4.569077e+01   4.432233e-01   3.944619e-01   -2.152009e-04   3.245865e-01
     15   4.581950e+01   4.617425e-01   4.131685e-01   -2.150732e-04   3.248136e-01
     16   4.594240e+01   4.810363e-01   4.328032e-01   -2.140247e-04   3.251179e-01
     17   4.605973e+01   5.011372e-01   4.534086e-01   -2.121049e-04   3.252707e-01
     18   4.617172e+01   5.220788e-01   4.750296e-01   -2.094884e-04   3.255004e-01
     19   4.627862e+01   5.438963e-01   4.977133e-01   -2.064095e-04   3.260353e-01
     20   4.638064e+01   5.666261e-01   5.215092e-01   -2.027444e-04   3.260375e-01
     21   4.647801e+01   5.903065e-01   5.464695e-01   -1.987002e-04   3.263449e-01
     22   4.657093e+01   6.149770e-01   5.726488e-01   -1.943882e-04   3.268049e-01
     23   4.665961e+01   6.406791e-01   6.001047e-01   -1.898409e-04   3.271890e-01
     24   4.674423e+01   6.674558e-01   6.288975e-01   -1.852026e-04   3.280302e-01
     25   4.682497e+01   6.953521e-01   6.590905e-01   -1.804088e-04   3.284147e-01
     26   4.690201e+01   7.244146e-01   6.907503e-01   -1.754654e-04   3.285709e-01
     27   4.697553e+01   7.546922e-01   7.239467e-01   -1.704302e-04   3.288035e-01
     28   4.704567e+01   7.862356e-01   7.587530e-01   -1.653770e-04   3.293407e-01
     29   4.711259e+01   8.190976e-01   7.952459e-01   -1.602955e-04   3.295733e-01
     30   4.717645e+01   8.533334e-01   8.335061e-01   -1.552629e-04   3.303391e-01
     31   4.723737e+01   8.890005e-01   8.736182e-01   -1.502524e-04   3.306480e-01
     32   4.729549e+01   9.261585e-01   9.156709e-01   -1.452893e-04   3.310332e-01
     33   4.735095e+01   9.648698e-01   9.597571e-01   -1.403840e-04   3.313420e-01
     34   4.740386e+01   1.005199e+00   1.005975e+00   -1.355507e-04   3.316509e-01
