# power spectrum of pi_k
# redshift z=2.839887
# k              Pk             sigma(k)       sigma(Pk)      count
  5.235988e-02   6.369654e-04   0.000000e+00   4.815427e-12   6
  7.404805e-02   1.544142e-03   0.000000e+00   0.000000e+00   12
  9.068997e-02   2.431366e-03   9.934107e-10   1.668113e-11   8
  1.047198e-01   3.208371e-03   0.000000e+00   2.724017e-11   6
  1.170802e-01   3.843049e-03   1.873193e-09   0.000000e+00   24
  1.282550e-01   4.329862e-03   1.873193e-09   1.668113e-11   24
  1.480961e-01   4.897050e-03   0.000000e+00   2.724017e-11   12
  1.570796e-01   5.008285e-03   2.119276e-09   2.647290e-09   30
  1.655765e-01   5.027465e-03   0.000000e+00   1.926171e-11   24
  1.736581e-01   4.971236e-03   3.244466e-09   1.926171e-11   24
  1.813799e-01   4.854857e-03   1.986821e-09   2.359068e-11   8
  1.887862e-01   4.691836e-03   2.649095e-09   0.000000e+00   24
  1.959127e-01   4.494135e-03   0.000000e+00   9.630853e-12   48
  2.094395e-01   4.033165e-03   0.000000e+00   1.576639e-10   6
  2.158853e-01   3.786046e-03   2.649095e-09   2.546578e-08   48
  2.221441e-01   3.535410e-03   2.497591e-09   2.387824e-08   36
  2.282314e-01   3.286341e-03   2.649095e-09   1.668113e-11   24
  2.341605e-01   3.041697e-03   3.746387e-09   5.858219e-11   24
  2.399431e-01   2.804957e-03   0.000000e+00   3.882321e-11   48
  2.455896e-01   2.578072e-03   3.746387e-09   9.630853e-12   24
  2.565100e-01   2.157709e-03   3.746387e-09   4.225520e-11   24
  2.617994e-01   1.965681e-03   0.000000e+00   1.588959e-07   30
  2.669840e-01   1.786591e-03   0.000000e+00   1.098796e-07   72
  2.720699e-01   1.619743e-03   3.973643e-09   1.479854e-07   32
  2.819666e-01   1.325076e-03   0.000000e+00   8.149536e-08   72
  2.867869e-01   1.194075e-03   0.000000e+00   1.957665e-10   48
  2.961922e-01   9.673138e-04   0.000000e+00   2.659406e-11   12
  3.007846e-01   8.677997e-04   0.000000e+00   6.350775e-08   48
  3.053079e-01   7.778760e-04   0.000000e+00   6.215906e-08   48
  3.097652e-01   6.959529e-04   3.746387e-09   1.136991e-10   48
  3.141593e-01   6.211166e-04   4.238553e-09   6.422076e-07   30
  3.184927e-01   5.484048e-04   0.000000e+00   1.519543e-09   24
  3.227680e-01   4.935484e-04   7.898076e-09   3.610643e-07   72
  3.311529e-01   3.881212e-04   0.000000e+00   1.075397e-09   24
  3.352668e-01   3.475805e-04   0.000000e+00   2.426560e-07   96
  3.393308e-01   3.108100e-04   0.000000e+00   4.894532e-11   48
  3.433467e-01   2.759862e-04   6.488932e-09   6.353980e-11   24
