# power spectrum of pi_k
# redshift z=3.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  3.141593e-02   4.514879e-12   0.000000e+00   1.819870e-12   6
  4.442883e-02   1.542539e-12   0.000000e+00   3.079258e-13   12
  5.441398e-02   8.807579e-13   5.960464e-10   1.792307e-13   8
  6.283185e-02   2.477621e-12   0.000000e+00   2.666100e-13   6
  7.024815e-02   1.500430e-12   1.123916e-09   4.783238e-13   24
  7.695299e-02   1.870778e-12   1.123916e-09   3.151805e-13   24
  8.885766e-02   6.380116e-13   0.000000e+00   2.871676e-13   12
  9.424778e-02   6.554304e-13   1.271566e-09   1.207385e-13   30
  9.934588e-02   7.335296e-13   0.000000e+00   1.616562e-13   24
  1.041948e-01   6.122410e-13   1.946680e-09   1.517643e-13   24
  1.088280e-01   6.688252e-13   1.192093e-09   1.355728e-13   8
  1.132717e-01   5.461060e-13   1.589457e-09   6.784539e-14   24
  1.175476e-01   4.886578e-13   0.000000e+00   6.866954e-14   48
  1.256637e-01   5.428929e-13   0.000000e+00   2.386990e-13   6
  1.295312e-01   4.260217e-13   1.589457e-09   5.982125e-14   48
  1.332865e-01   3.797377e-13   1.498555e-09   3.949192e-14   36
  1.369388e-01   5.253687e-13   1.589457e-09   1.098589e-13   24
  1.404963e-01   2.935569e-13   2.247832e-09   5.053707e-14   24
  1.439659e-01   2.496628e-13   0.000000e+00   3.395093e-14   48
  1.473538e-01   3.711693e-13   2.247832e-09   5.283250e-14   24
  1.539060e-01   2.691309e-13   2.247832e-09   4.233415e-14   24
  1.570796e-01   1.777222e-13   0.000000e+00   2.908987e-14   30
  1.601904e-01   1.825541e-13   0.000000e+00   2.016284e-14   72
  1.632419e-01   1.716009e-13   2.384186e-09   3.493563e-14   32
  1.691799e-01   2.199903e-13   0.000000e+00   2.551662e-14   72
  1.720721e-01   1.310304e-13   0.000000e+00   1.915624e-14   48
  1.777153e-01   6.749423e-14   0.000000e+00   2.007675e-14   12
  1.804708e-01   1.312086e-13   0.000000e+00   1.967912e-14   48
