# power spectrum of pi_k_v
# redshift z=2.839887
# k              Pk             sigma(k)       sigma(Pk)      count
  5.235988e-02   8.765215e-07   0.000000e+00   4.839748e-09   6
  7.404805e-02   8.578926e-06   0.000000e+00   6.346926e-09   12
  9.068997e-02   3.034451e-05   9.934107e-10   1.165973e-08   8
  1.047198e-01   6.595617e-05   0.000000e+00   3.119908e-08   6
  1.170802e-01   1.252839e-04   1.873193e-09   1.280411e-08   24
  1.282550e-01   2.054661e-04   1.873193e-09   2.234940e-08   24
  1.480961e-01   4.023802e-04   0.000000e+00   1.768646e-08   12
  1.570796e-01   5.117749e-04   2.119276e-09   4.996094e-06   30
  1.655765e-01   5.788793e-04   0.000000e+00   2.832780e-08   24
  1.736581e-01   7.049408e-04   3.244466e-09   3.036508e-08   24
  1.813799e-01   8.975941e-04   1.986821e-09   4.425755e-08   8
  1.887862e-01   9.308147e-04   2.649095e-09   2.330126e-08   24
  1.959127e-01   1.046913e-03   0.000000e+00   1.881526e-08   48
  2.094395e-01   9.656786e-04   0.000000e+00   3.106795e-08   6
  2.158853e-01   1.181071e-03   2.649095e-09   1.894671e-05   48
  2.221441e-01   1.179502e-03   2.497591e-09   1.308093e-05   36
  2.282314e-01   1.351921e-03   2.649095e-09   2.777138e-08   24
  2.341605e-01   1.217492e-03   3.746387e-09   1.884332e-08   24
  2.399431e-01   1.258837e-03   0.000000e+00   1.579881e-08   48
  2.455896e-01   1.440466e-03   3.746387e-09   2.237052e-08   24
  2.565100e-01   1.299346e-03   3.746387e-09   2.347128e-08   24
  2.617994e-01   1.164965e-03   0.000000e+00   2.426977e-05   30
  2.669840e-01   1.121466e-03   0.000000e+00   1.764025e-05   72
  2.720699e-01   1.018008e-03   3.973643e-09   3.198655e-05   32
  2.819666e-01   1.068860e-03   0.000000e+00   1.489223e-05   72
  2.867869e-01   8.773590e-04   0.000000e+00   9.173237e-09   48
  2.961922e-01   9.265229e-04   0.000000e+00   1.728602e-08   12
  3.007846e-01   8.504415e-04   0.000000e+00   6.591716e-06   48
  3.053079e-01   8.376771e-04   0.000000e+00   1.342218e-05   48
  3.097652e-01   7.183038e-04   3.746387e-09   7.762331e-09   48
  3.141593e-01   7.130107e-04   4.238553e-09   2.596960e-05   30
  3.184927e-01   4.175981e-04   0.000000e+00   1.042213e-08   24
  3.227680e-01   5.510410e-04   7.898076e-09   1.216941e-05   72
  3.311529e-01   3.717619e-04   0.000000e+00   8.162278e-09   24
  3.352668e-01   4.406111e-04   0.000000e+00   9.316125e-06   96
  3.393308e-01   4.499563e-04   0.000000e+00   5.873995e-09   48
  3.433467e-01   4.527145e-04   6.488932e-09   5.387800e-09   24
  3.473161e-01   3.041927e-04   6.488932e-09   5.937425e-09   24
  3.512407e-01   3.403895e-04   0.000000e+00   5.272811e-06   72
  3.551220e-01   2.618385e-04   0.000000e+00   4.787259e-09   48
  3.627599e-01   3.247702e-04   3.973643e-09   7.346355e-09   8
  3.665191e-01   2.025029e-04   4.709503e-09   4.982996e-06   54
  3.702402e-01   2.024909e-04   0.000000e+00   7.587871e-06   84
  3.739243e-01   1.451686e-04   0.000000e+00   7.981946e-06   48
  3.775724e-01   1.586325e-04   5.298191e-09   4.379909e-10   24
  3.811857e-01   1.251663e-04   7.064254e-09   3.785867e-06   72
  3.847649e-01   1.138309e-04   0.000000e+00   3.974100e-06   96
  3.918254e-01   1.174913e-04   0.000000e+00   2.293839e-10   48
  3.953084e-01   9.735959e-05   0.000000e+00   5.174423e-06   48
  3.987609e-01   5.548098e-05   0.000000e+00   2.132932e-09   24
  4.021839e-01   6.881782e-05   0.000000e+00   2.843997e-06   72
  4.089437e-01   7.239641e-05   0.000000e+00   5.779664e-07   72
  4.122821e-01   5.075792e-05   0.000000e+00   9.798743e-07   96
  4.188790e-01   2.479864e-08   0.000000e+00   2.024801e-08   3
  4.221388e-01   3.507445e-05   0.000000e+00   1.757977e-06   84
  4.253737e-01   3.026999e-05   8.563169e-09   1.764961e-06   84
  4.285841e-01   2.656051e-05   0.000000e+00   1.021076e-09   24
  4.317706e-01   2.515393e-05   0.000000e+00   2.962151e-06   36
  4.349338e-01   1.410529e-05   0.000000e+00   1.173941e-06   72
  4.380742e-01   2.891206e-05   0.000000e+00   5.441257e-11   48
  4.442883e-01   9.280470e-06   0.000000e+00   1.891430e-06   24
  4.473630e-01   1.131101e-05   7.064254e-09   1.331494e-06   36
  4.504167e-01   9.452497e-06   9.176735e-09   5.607790e-07   96
  4.534498e-01   1.167993e-05   0.000000e+00   3.880195e-07   56
  4.564628e-01   1.279612e-05   5.298191e-09   3.545298e-11   24
  4.594561e-01   9.198116e-06   0.000000e+00   7.657324e-07   72
  4.624299e-01   7.934910e-06   0.000000e+00   2.150606e-10   48
  4.683210e-01   6.612290e-09   0.000000e+00   2.699456e-09   12
  4.712389e-01   4.665680e-06   8.651909e-09   3.942017e-07   72
  4.741389e-01   5.860507e-09   0.000000e+00   2.392542e-09   12
  4.770212e-01   4.787436e-06   0.000000e+00   1.297514e-10   48
  4.798862e-01   4.625446e-09   5.298191e-09   1.335251e-09   24
  4.827342e-01   3.080016e-06   0.000000e+00   1.143826e-10   24
  4.855655e-01   3.484934e-06   0.000000e+00   1.140896e-07   72
  4.911792e-01   3.552138e-06   7.492773e-09   9.772600e-12   24
  4.939621e-01   1.189545e-06   0.000000e+00   1.121469e-07   84
  4.967294e-01   1.475543e-06   0.000000e+00   1.227753e-07   72
  5.049404e-01   1.673813e-09   7.492773e-09   4.831881e-10   24
  5.076478e-01   1.223859e-06   7.492773e-09   3.213749e-11   48
  5.130199e-01   1.310321e-09   7.492773e-09   5.349362e-10   12
  5.156850e-01   1.210291e-06   7.492773e-09   3.072823e-12   24
  5.183363e-01   1.640422e-07   9.990364e-09   3.843183e-08   36
  5.209742e-01   5.989996e-07   0.000000e+00   2.243194e-08   48
  5.235988e-01   6.365709e-10   7.492773e-09   2.598790e-10   12
  5.262103e-01   3.670431e-07   0.000000e+00   3.053891e-08   72
  5.288088e-01   3.252451e-07   0.000000e+00   1.250252e-11   24
  5.339681e-01   4.241814e-10   7.492773e-09   1.224506e-10   24
  5.365291e-01   4.486079e-10   0.000000e+00   1.295020e-10   24
  5.416148e-01   1.879466e-07   0.000000e+00   7.224296e-12   24
  5.441398e-01   2.932682e-07   7.947286e-09   0.000000e+00   8
  5.466532e-01   2.460401e-10   0.000000e+00   7.102567e-11   24
  5.491550e-01   1.827698e-07   0.000000e+00   4.782966e-12   48
  5.565931e-01   9.805383e-11   1.297786e-08   4.003031e-11   12
  5.590505e-01   3.317414e-08   0.000000e+00   5.228105e-09   60
  5.639331e-01   1.087297e-10   0.000000e+00   3.138755e-11   24
  5.663587e-01   6.438131e-11   0.000000e+00   1.858528e-11   24
  5.759587e-01   4.325223e-08   0.000000e+00   1.542938e-12   24
  5.783338e-01   3.677299e-11   7.492773e-09   1.061545e-11   24
  5.806991e-01   2.692348e-08   0.000000e+00   1.028710e-12   24
  5.854012e-01   3.545437e-11   0.000000e+00   1.023480e-11   24
  5.923844e-01   6.122799e-25   0.000000e+00   3.500777e-25   3
  5.946939e-01   1.277560e-11   1.468278e-08   3.868005e-12   30
  6.015692e-01   1.850368e-24   7.492773e-09   1.941722e-25   6
  6.061094e-01   6.248203e-09   0.000000e+00   2.228643e-13   24
  6.106159e-01   8.238237e-12   0.000000e+00   3.363246e-12   12
  6.128567e-01   5.960205e-24   7.492773e-09   1.092880e-24   6
  6.150893e-01   5.116689e-12   0.000000e+00   1.477061e-12   24
  6.283185e-01   2.698773e-24   7.492773e-09   6.472620e-25   6
  6.348298e-01   8.871921e-10   0.000000e+00   9.741843e-18   8
  6.391338e-01   1.169614e-12   1.498555e-08   3.376385e-13   24
  6.476559e-01   1.469235e-24   0.000000e+00   4.435112e-25   6
  6.664324e-01   1.636760e-13   0.000000e+00   6.682043e-14   12
  6.705336e-01   8.014354e-25   0.000000e+00   3.323797e-25   6
  6.966029e-01   8.532511e-26   0.000000e+00   3.288432e-26   6
