# power spectrum of delta
# redshift z=50.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  6.981317e-03   1.511222e-07   0.000000e+00   6.416240e-08   6
  9.873073e-03   3.083413e-07   0.000000e+00   6.499656e-08   12
  1.209200e-02   4.855327e-07   1.324548e-10   1.044866e-07   8
  1.396263e-02   2.742552e-06   0.000000e+00   3.120773e-07   6
  1.561070e-02   2.850715e-06   0.000000e+00   9.612258e-07   24
  1.710066e-02   5.641786e-06   2.497591e-10   1.005760e-06   24
  1.974615e-02   4.184665e-06   0.000000e+00   1.992382e-06   12
  2.094395e-02   5.963514e-06   2.825702e-10   1.159208e-06   30
  2.207686e-02   9.027089e-06   0.000000e+00   2.105211e-06   24
  2.315441e-02   9.669686e-06   4.325955e-10   2.537290e-06   24
  2.418399e-02   1.297565e-05   2.649095e-10   2.781565e-06   8
  2.517150e-02   1.266460e-05   3.532127e-10   1.666219e-06   24
  2.612170e-02   1.346178e-05   0.000000e+00   2.002227e-06   48
  2.792527e-02   2.025524e-05   0.000000e+00   9.430304e-06   6
  2.878471e-02   1.769051e-05   4.995182e-10   2.623641e-06   48
  2.961922e-02   1.808226e-05   0.000000e+00   1.996656e-06   36
  3.043086e-02   2.809448e-05   3.532127e-10   6.218061e-06   24
  3.122140e-02   1.811363e-05   0.000000e+00   3.295588e-06   24
  3.199241e-02   1.751381e-05   0.000000e+00   2.518112e-06   48
  3.274528e-02   2.890589e-05   4.995182e-10   4.351270e-06   24
  3.420133e-02   2.673610e-05   4.995182e-10   4.446187e-06   24
  3.490659e-02   1.953851e-05   0.000000e+00   3.382098e-06   30
  3.559787e-02   2.233564e-05   0.000000e+00   2.597229e-06   72
  3.627599e-02   2.349020e-05   5.298191e-10   5.081131e-06   32
  3.759554e-02   3.450456e-05   0.000000e+00   4.213718e-06   72
  3.823825e-02   2.257456e-05   0.000000e+00   3.493937e-06   48
  3.949229e-02   1.314172e-05   0.000000e+00   4.131771e-06   12
  4.010461e-02   2.742729e-05   0.000000e+00   4.346896e-06   48
  4.070772e-02   2.537608e-05   0.000000e+00   2.658636e-06   48
  4.130203e-02   3.558413e-05   4.995182e-10   4.751590e-06   48
  4.188790e-02   4.468295e-05   5.651403e-10   8.270627e-06   30
  4.246569e-02   4.303356e-05   4.995182e-10   1.024632e-05   24
  4.303573e-02   4.539016e-05   1.053077e-09   4.895634e-06   72
  4.415373e-02   2.963290e-05   0.000000e+00   5.955530e-06   24
  4.470224e-02   4.616656e-05   0.000000e+00   4.789432e-06   96
  4.524411e-02   3.689533e-05   0.000000e+00   5.190283e-06   48
  4.577956e-02   3.188213e-05   8.651909e-10   8.267909e-06   24
  4.630882e-02   2.464743e-05   8.651909e-10   5.357887e-06   24
  4.683210e-02   6.036794e-05   0.000000e+00   7.785741e-06   72
  4.734960e-02   4.755952e-05   0.000000e+00   7.742075e-06   48
  4.836798e-02   4.306294e-05   5.298191e-10   1.353949e-05   8
  4.886922e-02   6.781222e-05   6.279337e-10   8.659660e-06   54
  4.936537e-02   4.651138e-05   0.000000e+00   8.483459e-06   84
  4.985658e-02   5.416216e-05   0.000000e+00   8.246366e-06   48
  5.034299e-02   3.434063e-05   7.064254e-10   6.466807e-06   24
  5.082475e-02   4.765818e-05   6.660243e-10   5.950405e-06   72
  5.130199e-02   6.445654e-05   0.000000e+00   7.721177e-06   96
  5.224339e-02   9.185051e-05   0.000000e+00   1.058786e-05   48
  5.270779e-02   5.224110e-05   0.000000e+00   5.178463e-06   48
  5.316813e-02   4.784661e-05   7.064254e-10   9.848916e-06   24
  5.362451e-02   5.502319e-05   0.000000e+00   6.296952e-06   72
  5.452583e-02   5.922798e-05   6.660243e-10   7.384593e-06   72
  5.497095e-02   6.029445e-05   0.000000e+00   7.263923e-06   96
  5.585054e-02   9.347027e-05   0.000000e+00   4.346991e-05   6
  5.628518e-02   7.440801e-05   0.000000e+00   7.721139e-06   96
  5.671649e-02   7.841212e-05   7.064254e-10   8.842982e-06   96
  5.714454e-02   5.337346e-05   0.000000e+00   1.341531e-05   24
  5.756941e-02   6.143654e-05   9.990364e-10   7.825051e-06   48
  5.799117e-02   6.423391e-05   0.000000e+00   6.833636e-06   96
  5.840989e-02   7.305752e-05   0.000000e+00   1.040777e-05   48
