# power spectrum of delta for cdm
# redshift z=50.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  6.981317e-03   1.511217e-07   0.000000e+00   6.416215e-08   6
  9.873073e-03   3.083403e-07   0.000000e+00   6.499632e-08   12
  1.209200e-02   4.855311e-07   1.324548e-10   1.044862e-07   8
  1.396263e-02   2.742543e-06   0.000000e+00   3.120763e-07   6
  1.561070e-02   2.850706e-06   0.000000e+00   9.612226e-07   24
  1.710066e-02   5.641769e-06   2.497591e-10   1.005757e-06   24
  1.974615e-02   4.184652e-06   0.000000e+00   1.992375e-06   12
  2.094395e-02   5.963496e-06   2.825702e-10   1.159204e-06   30
  2.207686e-02   9.027063e-06   0.000000e+00   2.105204e-06   24
  2.315441e-02   9.669657e-06   4.325955e-10   2.537281e-06   24
  2.418399e-02   1.297561e-05   2.649095e-10   2.781556e-06   8
  2.517150e-02   1.266456e-05   3.532127e-10   1.666213e-06   24
  2.612170e-02   1.346174e-05   0.000000e+00   2.002221e-06   48
  2.792527e-02   2.025518e-05   0.000000e+00   9.430274e-06   6
  2.878471e-02   1.769046e-05   4.995182e-10   2.623633e-06   48
  2.961922e-02   1.808221e-05   0.000000e+00   1.996649e-06   36
  3.043086e-02   2.809439e-05   3.532127e-10   6.218041e-06   24
  3.122140e-02   1.811357e-05   0.000000e+00   3.295577e-06   24
  3.199241e-02   1.751376e-05   0.000000e+00   2.518104e-06   48
  3.274528e-02   2.890581e-05   4.995182e-10   4.351256e-06   24
  3.420133e-02   2.673602e-05   4.995182e-10   4.446172e-06   24
  3.490659e-02   1.953846e-05   0.000000e+00   3.382087e-06   30
  3.559787e-02   2.233557e-05   0.000000e+00   2.597221e-06   72
  3.627599e-02   2.349013e-05   5.298191e-10   5.081115e-06   32
  3.759554e-02   3.450446e-05   0.000000e+00   4.213705e-06   72
  3.823825e-02   2.257450e-05   0.000000e+00   3.493925e-06   48
  3.949229e-02   1.314167e-05   0.000000e+00   4.131758e-06   12
  4.010461e-02   2.742721e-05   0.000000e+00   4.346882e-06   48
  4.070772e-02   2.537600e-05   0.000000e+00   2.658628e-06   48
  4.130203e-02   3.558402e-05   4.995182e-10   4.751575e-06   48
  4.188790e-02   4.468282e-05   5.651403e-10   8.270600e-06   30
  4.246569e-02   4.303344e-05   4.995182e-10   1.024629e-05   24
  4.303573e-02   4.539002e-05   1.053077e-09   4.895618e-06   72
  4.415373e-02   2.963281e-05   0.000000e+00   5.955511e-06   24
  4.470224e-02   4.616642e-05   0.000000e+00   4.789416e-06   96
  4.524411e-02   3.689522e-05   0.000000e+00   5.190266e-06   48
  4.577956e-02   3.188203e-05   8.651909e-10   8.267882e-06   24
  4.630882e-02   2.464735e-05   8.651909e-10   5.357870e-06   24
