# power spectrum of delta_N
# redshift z=-0.036454
# k              Pk             sigma(k)       sigma(Pk)      count
  3.141593e-02   2.066465e-03   0.000000e+00   8.440322e-04   6
  4.442883e-02   3.047190e-03   0.000000e+00   6.408412e-04   12
  5.441398e-02   3.447980e-03   5.960464e-10   7.217107e-04   8
  6.283185e-02   8.032322e-02   0.000000e+00   1.687806e-02   6
  7.024815e-02   1.805108e-02   1.123916e-09   5.756905e-03   24
  7.695299e-02   3.227523e-02   1.123916e-09   5.508683e-03   24
  8.885766e-02   1.832849e-02   0.000000e+00   7.147981e-03   12
  9.424778e-02   2.826122e-02   1.271566e-09   5.328281e-03   30
  9.934588e-02   3.474375e-02   0.000000e+00   7.814006e-03   24
  1.041948e-01   3.290889e-02   1.946680e-09   8.521608e-03   24
  1.088280e-01   3.891997e-02   1.192093e-09   7.387819e-03   8
  1.132717e-01   4.172133e-02   1.589457e-09   6.096849e-03   24
  1.175476e-01   4.395338e-02   0.000000e+00   6.837624e-03   48
  1.256637e-01   1.666858e+00   0.000000e+00   1.512341e-01   6
  1.295312e-01   5.211934e-02   1.589457e-09   8.002655e-03   48
  1.332865e-01   5.494530e-02   1.498555e-09   6.548208e-03   36
  1.369388e-01   8.514837e-02   1.589457e-09   1.747848e-02   24
  1.404963e-01   6.175813e-02   2.247832e-09   1.025535e-02   24
  1.439659e-01   5.084544e-02   0.000000e+00   6.084383e-03   48
  1.473538e-01   8.108792e-02   2.247832e-09   1.152741e-02   24
  1.539060e-01   6.770155e-02   2.247832e-09   9.704384e-03   24
  1.570796e-01   1.164857e-01   0.000000e+00   4.637718e-02   30
  1.601904e-01   5.858876e-02   0.000000e+00   7.024552e-03   72
  1.632419e-01   5.162912e-02   2.384186e-09   1.287341e-02   32
  1.691799e-01   8.675795e-02   0.000000e+00   1.000137e-02   72
  1.720721e-01   5.135796e-02   0.000000e+00   8.417004e-03   48
  1.777153e-01   5.357177e-02   0.000000e+00   1.724183e-02   12
  1.804708e-01   7.060243e-02   0.000000e+00   1.162621e-02   48
  1.831848e-01   7.118815e-02   0.000000e+00   7.726240e-03   48
  1.858591e-01   7.460520e-02   2.247832e-09   8.799939e-03   48
  1.884956e-01   1.164457e+00   2.543132e-09   4.190807e-01   30
  1.910956e-01   9.513109e-02   0.000000e+00   2.093456e-02   24
  1.936608e-01   1.259252e-01   4.738846e-09   1.348666e-02   72
  1.986918e-01   5.463583e-02   0.000000e+00   1.079489e-02   24
  2.011601e-01   1.101309e-01   0.000000e+00   1.201893e-02   96
  2.035985e-01   8.155041e-02   0.000000e+00   1.390283e-02   48
  2.060080e-01   8.101406e-02   3.893359e-09   1.477874e-02   24
  2.083897e-01   3.682700e-02   3.893359e-09   6.413739e-03   24
  2.107444e-01   1.187967e-01   0.000000e+00   1.212501e-02   72
  2.130732e-01   8.851818e-02   0.000000e+00   1.138995e-02   48
  2.176559e-01   7.219614e-02   2.384186e-09   1.567527e-02   8
  2.199115e-01   2.461755e-01   2.825702e-09   8.048878e-02   54
  2.221441e-01   8.723485e-02   0.000000e+00   1.183958e-02   84
  2.243546e-01   1.125013e-01   0.000000e+00   1.560541e-02   48
  2.265435e-01   1.107058e-01   3.178914e-09   1.806544e-02   24
  2.287114e-01   9.648032e-02   4.238553e-09   9.359685e-03   72
  2.308590e-01   1.220056e-01   0.000000e+00   1.366301e-02   96
  2.350953e-01   1.518392e-01   0.000000e+00   1.580608e-02   48
  2.371850e-01   1.156974e-01   0.000000e+00   1.202649e-02   48
  2.392566e-01   9.246364e-02   0.000000e+00   1.676931e-02   24
  2.413103e-01   1.022798e-01   0.000000e+00   1.114818e-02   72
  2.453662e-01   1.140175e-01   0.000000e+00   1.553282e-02   72
  2.473693e-01   1.089960e-01   0.000000e+00   1.170675e-02   96
  2.513274e-01   1.077878e+01   0.000000e+00   1.488470e+00   6
  2.532833e-01   1.271042e-01   0.000000e+00   1.357525e-02   96
  2.552242e-01   1.477333e-01   3.178914e-09   1.458247e-02   96
  2.571504e-01   5.512209e-02   0.000000e+00   1.015303e-02   24
  2.590624e-01   1.154583e-01   3.178914e-09   1.732049e-02   48
  2.609603e-01   1.009754e-01   0.000000e+00   1.081088e-02   96
  2.628445e-01   1.209760e-01   0.000000e+00   1.952533e-02   48
  2.665730e-01   1.204010e-01   2.997109e-09   2.112220e-02   36
  2.684178e-01   1.087789e-01   5.506041e-09   1.503929e-02   48
  2.702500e-01   1.297307e-01   6.229375e-09   1.106827e-02   120
  2.720699e-01   1.332833e-01   0.000000e+00   1.818667e-02   56
  2.738777e-01   6.469481e-02   3.178914e-09   1.119056e-02   24
  2.756736e-01   1.070182e-01   0.000000e+00   1.191443e-02   96
  2.774580e-01   1.370146e-01   0.000000e+00   1.428176e-02   48
  2.809926e-01   1.469058e-01   4.495664e-09   3.057073e-02   24
  2.827433e-01   2.027903e-01   0.000000e+00   3.384468e-02   102
  2.844833e-01   1.464098e-01   3.178914e-09   2.143772e-02   48
  2.862127e-01   1.343535e-01   0.000000e+00   1.248693e-02   72
  2.879317e-01   1.347523e-01   0.000000e+00   1.469230e-02   48
  2.896405e-01   1.466075e-01   0.000000e+00   2.438373e-02   48
  2.913393e-01   1.343878e-01   7.193062e-09   1.010125e-02   120
  2.947075e-01   2.089576e-01   4.495664e-09   2.413615e-02   24
  2.963773e-01   1.250031e-01   4.238553e-09   1.024991e-02   144
  2.980376e-01   1.191486e-01   5.086263e-09   1.298691e-02   120
  2.996888e-01   1.220217e-01   4.495664e-09   1.946683e-02   48
  3.029642e-01   1.584297e-01   4.495664e-09   2.808829e-02   48
  3.045887e-01   1.309308e-01   4.495664e-09   1.307128e-02   96
  3.088780e-01   1.590783e-01   7.537918e-04   2.015456e-02   72
  3.110018e-01   1.455404e-01   3.996146e-09   1.301064e-02   108
  3.125845e-01   1.618512e-01   0.000000e+00   1.635350e-02   72
  3.141593e-01   2.414239e+00   0.000000e+00   9.268779e-01   30
  3.157262e-01   1.521348e-01   0.000000e+00   1.219626e-02   168
  3.172853e-01   2.010877e-01   0.000000e+00   2.237070e-02   48
  3.203808e-01   1.291187e-01   0.000000e+00   1.295432e-02   72
  3.219175e-01   1.529008e-01   0.000000e+00   1.583683e-02   96
  3.234468e-01   1.311239e-01   8.477105e-09   1.653699e-02   72
  3.249689e-01   1.522284e-01   0.000000e+00   1.349775e-02   72
  3.275279e-01   1.613759e-01   6.960077e-04   1.312610e-02   104
  3.294930e-01   1.603773e-01   5.994218e-09   1.127255e-02   144
  3.339559e-01   1.137825e-01   1.005261e-08   1.240282e-02   96
  3.354303e-01   1.318402e-01   0.000000e+00   1.289720e-02   96
  3.377752e-01   1.859505e-01   7.160371e-04   1.709144e-02   120
  3.398152e-01   1.360768e-01   0.000000e+00   1.262566e-02   120
  3.412643e-01   2.165528e-01   0.000000e+00   2.661785e-02   72
  3.441442e-01   1.722595e-01   0.000000e+00   1.846493e-02   48
  3.455752e-01   3.683158e-01   7.825020e-09   1.062691e-01   78
  3.474057e-01   1.657669e-01   6.411427e-04   1.333653e-02   168
  3.512407e-01   1.542053e-01   7.341388e-09   1.259262e-02   144
  3.526429e-01   2.002447e-01   5.994218e-09   1.446314e-02   144
  3.567097e-01   1.831391e-01   3.692465e-04   1.633954e-02   156
  3.581967e-01   1.468572e-01   7.786718e-09   2.210949e-02   48
  3.595717e-01   1.545655e-01   5.086263e-09   1.635040e-02   120
  3.609415e-01   1.750142e-01   0.000000e+00   3.544810e-02   48
  3.633635e-01   1.880302e-01   5.651992e-04   1.354167e-02   216
  3.663695e-01   1.263909e-01   0.000000e+00   1.482811e-02   48
  3.677140e-01   1.684364e-01   4.495664e-09   1.535701e-02   96
  3.696256e-01   1.711783e-01   6.605235e-04   1.277488e-02   168
  3.717183e-01   1.626015e-01   4.495664e-09   2.206756e-02   48
  3.730435e-01   1.622311e-01   0.000000e+00   1.419602e-02   96
  3.743640e-01   1.886285e-01   0.000000e+00   2.396182e-02   48
  3.769911e-01   3.366135e+00   5.086263e-09   1.322466e+00   30
  3.782979e-01   1.955844e-01   0.000000e+00   1.769220e-02   96
  3.798596e-01   1.679758e-01   5.191127e-04   1.107119e-02   240
  3.818679e-01   2.195840e-01   5.600478e-04   3.136868e-02   32
  3.834803e-01   1.394346e-01   0.000000e+00   1.165995e-02   168
  3.847649e-01   1.376823e-01   0.000000e+00   1.447245e-02   120
  3.873216e-01   1.581237e-01   9.477692e-09   1.742413e-02   72
  3.885936e-01   2.375946e-01   4.238553e-09   1.944249e-02   144
  3.898614e-01   1.772369e-01   0.000000e+00   1.553306e-02   96
  3.911251e-01   2.154097e-01   0.000000e+00   1.864652e-02   96
  3.936404e-01   2.215116e-01   0.000000e+00   2.178114e-02   72
  3.948921e-01   2.043374e-01   6.357829e-09   2.062987e-02   96
  3.973835e-01   2.268319e-01   0.000000e+00   3.899405e-02   24
  3.986234e-01   2.228787e-01   0.000000e+00   1.661619e-02   192
  4.000835e-01   1.694296e-01   4.752666e-04   1.452165e-02   132
  4.023202e-01   1.653236e-01   0.000000e+00   1.585986e-02   96
  4.035449e-01   1.672720e-01   0.000000e+00   1.358395e-02   96
  4.047659e-01   2.721587e-01   5.086263e-09   2.283477e-02   120
  4.071969e-01   2.505240e-01   0.000000e+00   2.509788e-02   48
