# power spectrum of delta for linear fields (CLASS)
# redshift z=30.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  6.981317e-03   3.745047e-10   0.000000e+00   1.525318e-10   6
  9.873073e-03   6.845646e-10   0.000000e+00   1.382399e-10   12
  1.209200e-02   1.036638e-09   1.324548e-10   2.134933e-10   8
  1.396263e-02   5.703836e-09   0.000000e+00   6.213133e-10   6
  1.561070e-02   5.871823e-09   0.000000e+00   1.895150e-09   24
  1.710066e-02   1.155443e-08   2.497591e-10   1.971025e-09   24
  1.974615e-02   8.494746e-09   0.000000e+00   3.871832e-09   12
  2.094395e-02   1.208443e-08   2.825702e-10   2.254353e-09   30
  2.207686e-02   1.809700e-08   0.000000e+00   4.038982e-09   24
  2.315441e-02   1.942556e-08   4.325955e-10   4.876661e-09   24
  2.418399e-02   2.629142e-08   2.649095e-10   5.397406e-09   8
  2.517150e-02   2.546279e-08   3.532127e-10   3.203823e-09   24
  2.612170e-02   2.711947e-08   0.000000e+00   3.859812e-09   48
  2.792527e-02   4.001176e-08   0.000000e+00   1.781806e-08   6
  2.878471e-02   3.542244e-08   4.995182e-10   5.037818e-09   48
  2.961922e-02   3.607871e-08   0.000000e+00   3.800324e-09   36
  3.043086e-02   5.673928e-08   3.532127e-10   1.201719e-08   24
  3.122140e-02   3.619631e-08   0.000000e+00   6.311504e-09   24
  3.199241e-02   3.510446e-08   0.000000e+00   4.835192e-09   48
  3.274528e-02   5.880958e-08   4.995182e-10   8.478778e-09   24
  3.420133e-02   5.396346e-08   4.995182e-10   8.597804e-09   24
  3.490659e-02   3.941897e-08   0.000000e+00   6.535329e-09   30
  3.559787e-02   4.487397e-08   0.000000e+00   5.020159e-09   72
  3.627599e-02   4.653956e-08   5.298191e-10   9.597066e-09   32
  3.759554e-02   6.997337e-08   0.000000e+00   8.220913e-09   72
  3.823825e-02   4.505255e-08   0.000000e+00   6.671573e-09   48
  3.949229e-02   2.670806e-08   0.000000e+00   8.047159e-09   12
  4.010461e-02   5.560289e-08   0.000000e+00   8.447253e-09   48
  4.070772e-02   5.168187e-08   0.000000e+00   5.211081e-09   48
  4.130203e-02   7.202144e-08   4.995182e-10   9.202740e-09   48
  4.188790e-02   9.084641e-08   5.651403e-10   1.613086e-08   30
  4.246569e-02   8.413907e-08   4.995182e-10   1.916945e-08   24
  4.303573e-02   9.099618e-08   1.053077e-09   9.267204e-09   72
  4.415373e-02   5.871389e-08   0.000000e+00   1.128929e-08   24
  4.470224e-02   9.395259e-08   0.000000e+00   9.429411e-09   96
  4.524411e-02   7.551214e-08   0.000000e+00   1.015713e-08   48
  4.577956e-02   6.577178e-08   8.651909e-10   1.636518e-08   24
  4.630882e-02   4.957100e-08   8.651909e-10   1.031117e-08   24
  4.683210e-02   1.235092e-07   0.000000e+00   1.527391e-08   72
  4.734960e-02   9.592640e-08   0.000000e+00   1.495819e-08   48
  4.836798e-02   9.025518e-08   5.298191e-10   2.729109e-08   8
  4.886922e-02   1.369746e-07   6.279337e-10   1.655831e-08   54
  4.936537e-02   9.586134e-08   0.000000e+00   1.698286e-08   84
  4.985658e-02   1.089417e-07   0.000000e+00   1.583122e-08   48
  5.034299e-02   7.009435e-08   7.064254e-10   1.266620e-08   24
  5.082475e-02   9.637435e-08   6.660243e-10   1.158438e-08   72
  5.130199e-02   1.310655e-07   0.000000e+00   1.511328e-08   96
  5.224339e-02   1.901997e-07   0.000000e+00   2.101391e-08   48
  5.270779e-02   1.072471e-07   0.000000e+00   1.018024e-08   48
  5.316813e-02   9.588827e-08   7.064254e-10   1.889850e-08   24
  5.362451e-02   1.124067e-07   0.000000e+00   1.225983e-08   72
  5.452583e-02   1.238006e-07   6.660243e-10   1.484187e-08   72
  5.497095e-02   1.239875e-07   0.000000e+00   1.431631e-08   96
  5.585054e-02   1.795236e-07   0.000000e+00   7.992229e-08   6
  5.628518e-02   1.521206e-07   0.000000e+00   1.491866e-08   96
  5.671649e-02   1.602485e-07   7.064254e-10   1.734924e-08   96
  5.714454e-02   1.106182e-07   0.000000e+00   2.664307e-08   24
  5.756941e-02   1.258852e-07   9.990364e-10   1.588800e-08   48
  5.799117e-02   1.299836e-07   0.000000e+00   1.330905e-08   96
  5.840989e-02   1.555537e-07   0.000000e+00   2.122675e-08   48
  5.923844e-02   1.442643e-07   0.000000e+00   2.742434e-08   36
  5.964840e-02   1.484400e-07   1.223565e-09   1.898563e-08   48
  6.005556e-02   1.680003e-07   1.384305e-09   1.527658e-08   120
  6.045998e-02   1.540199e-07   0.000000e+00   2.060081e-08   56
  6.086171e-02   8.838503e-08   7.064254e-10   1.566657e-08   24
  6.126081e-02   1.307809e-07   0.000000e+00   1.178812e-08   96
  6.165732e-02   1.415328e-07   0.000000e+00   1.850127e-08   48
  6.244280e-02   1.789402e-07   0.000000e+00   3.362416e-08   24
  6.283185e-02   1.992249e-07   0.000000e+00   2.019308e-08   102
  6.321851e-02   2.095650e-07   0.000000e+00   3.200251e-08   48
  6.360282e-02   1.963206e-07   0.000000e+00   1.981462e-08   72
  6.398483e-02   1.825654e-07   0.000000e+00   1.868139e-08   48
  6.436456e-02   1.994928e-07   0.000000e+00   3.744185e-08   48
  6.474207e-02   1.738302e-07   1.598458e-09   1.547627e-08   120
