# power spectrum of phi
# redshift z=-0.036454
# k              Pk             sigma(k)       sigma(Pk)      count
  3.141593e-02   8.271129e-10   0.000000e+00   4.741114e-10   6
  4.442883e-02   1.281580e-12   0.000000e+00   2.566648e-13   12
  5.441398e-02   3.608541e-13   5.960464e-10   6.686977e-14   8
  6.283185e-02   2.648275e-09   0.000000e+00   4.695893e-10   6
  7.024815e-02   1.695615e-12   1.123916e-09   4.384358e-13   24
  7.695299e-02   2.062586e-12   1.123916e-09   3.406676e-13   24
  8.885766e-02   6.537942e-13   0.000000e+00   2.152633e-13   12
  9.424778e-02   3.733403e-11   1.271566e-09   2.508072e-11   30
  9.934588e-02   7.959677e-13   0.000000e+00   1.773747e-13   24
  1.041948e-01   5.355748e-13   1.946680e-09   1.518726e-13   24
  1.088280e-01   3.556878e-13   1.192093e-09   8.303436e-14   8
  1.132717e-01   5.717384e-13   1.589457e-09   1.118016e-13   24
  1.175476e-01   4.516317e-13   0.000000e+00   7.514862e-14   48
  1.256637e-01   1.056733e-09   0.000000e+00   2.056089e-10   6
  1.295312e-01   4.949907e-13   1.589457e-09   7.134830e-14   48
  1.332865e-01   2.932274e-13   1.498555e-09   4.329826e-14   36
  1.369388e-01   5.216033e-13   1.589457e-09   9.218976e-14   24
  1.404963e-01   4.672700e-13   2.247832e-09   5.995935e-14   24
  1.439659e-01   2.494342e-13   0.000000e+00   2.904101e-14   48
  1.473538e-01   3.570139e-13   2.247832e-09   5.268829e-14   24
  1.539060e-01   2.711428e-13   2.247832e-09   4.084727e-14   24
  1.570796e-01   1.905312e-11   0.000000e+00   1.287627e-11   30
  1.601904e-01   2.948930e-13   0.000000e+00   3.256521e-14   72
  1.632419e-01   1.981907e-13   2.384186e-09   5.483414e-14   32
  1.691799e-01   2.397004e-13   0.000000e+00   2.695546e-14   72
  1.720721e-01   1.572627e-13   0.000000e+00   2.487218e-14   48
  1.777153e-01   1.516158e-13   0.000000e+00   3.817210e-14   12
  1.804708e-01   1.579476e-13   0.000000e+00   2.351974e-14   48
  1.831848e-01   1.767579e-13   0.000000e+00   1.815203e-14   48
  1.858591e-01   1.528379e-13   2.247832e-09   1.878339e-14   48
  1.884956e-01   1.331683e-10   2.543132e-09   5.477991e-11   30
  1.910956e-01   3.267290e-13   0.000000e+00   5.537269e-14   24
  1.936608e-01   1.958020e-13   4.738846e-09   1.799455e-14   72
  1.986918e-01   8.581073e-14   0.000000e+00   2.047606e-14   24
  2.011601e-01   1.499953e-13   0.000000e+00   1.341586e-14   96
  2.035985e-01   1.200965e-13   0.000000e+00   1.650470e-14   48
  2.060080e-01   1.166168e-13   3.893359e-09   1.891643e-14   24
  2.083897e-01   8.546451e-14   3.893359e-09   1.770729e-14   24
