# power spectrum of pi_k
# redshift z=-0.036454
# k              Pk             sigma(k)       sigma(Pk)      count
  3.141593e-02   1.221065e-03   0.000000e+00   4.939863e-04   6
  4.442883e-02   3.911017e-04   0.000000e+00   7.480550e-05   12
  5.441398e-02   2.257529e-04   5.960464e-10   4.600785e-05   8
  6.283185e-02   6.727512e-04   0.000000e+00   9.319780e-05   6
  7.024815e-02   4.093945e-04   1.123916e-09   1.317672e-04   24
  7.695299e-02   5.090135e-04   1.123916e-09   9.274653e-05   24
  8.885766e-02   1.284117e-04   0.000000e+00   5.199477e-05   12
  9.424778e-02   1.592325e-04   1.271566e-09   2.947705e-05   30
  9.934588e-02   1.792867e-04   0.000000e+00   3.544066e-05   24
  1.041948e-01   1.765004e-04   1.946680e-09   4.754700e-05   24
  1.088280e-01   1.572231e-04   1.192093e-09   2.598076e-05   8
  1.132717e-01   1.204765e-04   1.589457e-09   1.729076e-05   24
  1.175476e-01   1.198470e-04   0.000000e+00   1.711354e-05   48
  1.256637e-01   1.054081e-04   0.000000e+00   4.355402e-05   6
  1.295312e-01   1.006280e-04   1.589457e-09   1.503789e-05   48
  1.332865e-01   8.547048e-05   1.498555e-09   1.043011e-05   36
  1.369388e-01   1.314191e-04   1.589457e-09   2.986115e-05   24
  1.404963e-01   6.955073e-05   2.247832e-09   9.950158e-06   24
  1.439659e-01   5.880675e-05   0.000000e+00   7.501505e-06   48
  1.473538e-01   8.052639e-05   2.247832e-09   1.101504e-05   24
  1.539060e-01   6.159974e-05   2.247832e-09   8.757359e-06   24
  1.570796e-01   3.441364e-05   0.000000e+00   6.277355e-06   30
  1.601904e-01   4.006310e-05   0.000000e+00   4.208037e-06   72
  1.632419e-01   3.923277e-05   2.384186e-09   9.000177e-06   32
  1.691799e-01   4.481448e-05   0.000000e+00   5.049406e-06   72
  1.720721e-01   2.540328e-05   0.000000e+00   3.719565e-06   48
  1.777153e-01   1.247976e-05   0.000000e+00   3.110204e-06   12
  1.804708e-01   2.610466e-05   0.000000e+00   3.762648e-06   48
  1.831848e-01   2.043596e-05   0.000000e+00   2.139998e-06   48
  1.858591e-01   2.550941e-05   2.247832e-09   3.254242e-06   48
  1.884956e-01   3.325044e-05   2.543132e-09   6.000617e-06   30
  1.910956e-01   2.880195e-05   0.000000e+00   5.862140e-06   24
  1.936608e-01   3.092933e-05   4.738846e-09   3.223621e-06   72
  1.986918e-01   1.156171e-05   0.000000e+00   2.812682e-06   24
  2.011601e-01   2.330421e-05   0.000000e+00   2.371954e-06   96
  2.035985e-01   1.684529e-05   0.000000e+00   2.550015e-06   48
  2.060080e-01   1.366208e-05   3.893359e-09   3.050403e-06   24
  2.083897e-01   9.345043e-06   3.893359e-09   2.168786e-06   24
  2.107444e-01   2.238464e-05   0.000000e+00   2.475001e-06   72
  2.130732e-01   1.661278e-05   0.000000e+00   2.402074e-06   48
  2.176559e-01   1.043395e-05   2.384186e-09   2.861832e-06   8
