# power spectrum of phi
# redshift z=10.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  6.981317e-03   3.590164e-10   0.000000e+00   1.447258e-10   6
  9.873073e-03   2.015265e-10   0.000000e+00   4.021614e-11   12
  1.209200e-02   1.450995e-10   1.324548e-10   2.958748e-11   8
  1.396263e-02   4.759201e-10   0.000000e+00   5.116929e-11   6
  1.561070e-02   3.171883e-10   0.000000e+00   1.010903e-10   24
  1.710066e-02   4.356601e-10   2.497591e-10   7.352832e-11   24
  1.974615e-02   1.825671e-10   0.000000e+00   8.206411e-11   12
  2.094395e-02   2.052074e-10   2.825702e-10   3.742151e-11   30
  2.207686e-02   2.573978e-10   0.000000e+00   5.667794e-11   24
  2.315441e-02   2.256731e-10   4.325955e-10   5.603492e-11   24
  2.418399e-02   2.488144e-10   2.649095e-10   5.035581e-11   8
  2.517150e-02   2.102805e-10   3.532127e-10   2.624850e-11   24
  2.612170e-02   1.915010e-10   0.000000e+00   2.695953e-11   48
  2.792527e-02   2.303497e-10   0.000000e+00   1.013521e-10   6
  2.878471e-02   1.725528e-10   4.995182e-10   2.411559e-11   48
  2.961922e-02   1.585651e-10   0.000000e+00   1.668299e-11   36
  3.043086e-02   2.146064e-10   3.532127e-10   4.501155e-11   24
  3.122140e-02   1.279515e-10   0.000000e+00   2.185684e-11   24
  3.199241e-02   1.113412e-10   0.000000e+00   1.507396e-11   48
  3.274528e-02   1.610904e-10   4.995182e-10   2.291868e-11   24
  3.420133e-02   1.280436e-10   4.995182e-10   2.007822e-11   24
  3.490659e-02   8.599249e-11   0.000000e+00   1.408397e-11   30
  3.559787e-02   9.200854e-11   0.000000e+00   9.997948e-12   72
  3.627599e-02   9.271020e-11   5.298191e-10   1.911393e-11   32
  3.759554e-02   1.115698e-10   0.000000e+00   1.276268e-11   72
  3.823825e-02   7.083726e-11   0.000000e+00   1.037748e-11   48
  3.949229e-02   3.464558e-11   0.000000e+00   1.027592e-11   12
  4.010461e-02   6.846667e-11   0.000000e+00   1.023514e-11   48
  4.070772e-02   5.903114e-11   0.000000e+00   5.778808e-12   48
  4.130203e-02   7.904880e-11   4.995182e-10   1.001474e-11   48
  4.188790e-02   9.313845e-11   5.651403e-10   1.630590e-11   30
  4.246569e-02   9.312569e-11   4.995182e-10   2.090275e-11   24
  4.303573e-02   8.792723e-11   1.053077e-09   9.264899e-12   72
  4.415373e-02   5.291759e-11   0.000000e+00   1.007314e-11   24
  4.470224e-02   7.384676e-11   0.000000e+00   7.102348e-12   96
  4.524411e-02   5.543831e-11   0.000000e+00   7.438971e-12   48
  4.577956e-02   4.491019e-11   8.651909e-10   1.097358e-11   24
  4.630882e-02   3.511138e-11   8.651909e-10   7.239128e-12   24
  4.683210e-02   7.904862e-11   0.000000e+00   9.624449e-12   72
  4.734960e-02   6.169465e-11   0.000000e+00   9.491649e-12   48
  4.836798e-02   4.681720e-11   5.298191e-10   1.376083e-11   8
  4.886922e-02   7.726020e-11   6.279337e-10   9.636686e-12   54
  4.936537e-02   4.850184e-11   0.000000e+00   8.102239e-12   84
  4.985658e-02   5.779387e-11   0.000000e+00   8.430738e-12   48
  5.034299e-02   3.388601e-11   7.064254e-10   6.004100e-12   24
  5.082475e-02   4.626098e-11   6.660243e-10   5.403808e-12   72
  5.130199e-02   5.954293e-11   0.000000e+00   6.713358e-12   96
  5.224339e-02   7.524250e-11   0.000000e+00   8.223989e-12   48
  5.270779e-02   4.234956e-11   0.000000e+00   4.038993e-12   48
  5.316813e-02   3.948112e-11   7.064254e-10   7.698142e-12   24
  5.362451e-02   4.201928e-11   0.000000e+00   4.629973e-12   72
  5.452583e-02   4.002813e-11   6.660243e-10   4.701162e-12   72
  5.497095e-02   4.099727e-11   0.000000e+00   4.673633e-12   96
  5.585054e-02   7.022265e-11   0.000000e+00   3.070778e-11   6
  5.628518e-02   4.684025e-11   0.000000e+00   4.811664e-12   96
  5.671649e-02   4.790587e-11   7.064254e-10   5.100501e-12   96
  5.714454e-02   3.025051e-11   0.000000e+00   7.217383e-12   24
  5.756941e-02   3.520145e-11   9.990364e-10   3.975191e-12   48
  5.799117e-02   3.665064e-11   0.000000e+00   3.670289e-12   96
  5.840989e-02   3.572978e-11   0.000000e+00   4.868377e-12   48
  5.923844e-02   3.548280e-11   0.000000e+00   6.209264e-12   36
  5.964840e-02   3.559502e-11   1.223565e-09   4.380549e-12   48
  6.005556e-02   3.850629e-11   1.384305e-09   3.427104e-12   120
  6.045998e-02   3.244807e-11   0.000000e+00   4.250851e-12   56
  6.086171e-02   1.748637e-11   7.064254e-10   3.077864e-12   24
  6.126081e-02   2.657165e-11   0.000000e+00   2.388544e-12   96
  6.165732e-02   2.713795e-11   0.000000e+00   3.479075e-12   48
  6.244280e-02   3.704720e-11   0.000000e+00   6.874144e-12   24
  6.283185e-02   3.679803e-11   0.000000e+00   3.690200e-12   102
  6.321851e-02   4.425485e-11   0.000000e+00   6.793940e-12   48
  6.360282e-02   3.612177e-11   0.000000e+00   3.787934e-12   72
  6.398483e-02   3.220713e-11   0.000000e+00   3.234480e-12   48
  6.436456e-02   3.875627e-11   0.000000e+00   7.053954e-12   48
  6.474207e-02   3.036947e-11   1.598458e-09   2.921132e-12   120
  6.549056e-02   3.771574e-11   9.990364e-10   6.223906e-12   24
  6.586161e-02   2.554571e-11   9.419006e-10   2.165274e-12   144
  6.623059e-02   2.545003e-11   1.130281e-09   2.550452e-12   120
  6.659752e-02   2.400365e-11   9.990364e-10   3.378463e-12   48
  6.732538e-02   2.924703e-11   9.990364e-10   3.913671e-12   48
  6.768638e-02   2.426915e-11   9.990364e-10   2.394849e-12   96
  6.863955e-02   2.894540e-11   1.675093e-04   3.319270e-12   72
  6.911151e-02   2.332879e-11   1.255867e-09   1.745603e-12   108
  6.946323e-02   2.571704e-11   0.000000e+00   2.760904e-12   72
  6.981317e-02   1.816389e-11   0.000000e+00   4.033501e-12   30
  7.016137e-02   2.713487e-11   0.000000e+00   2.061731e-12   168
  7.050785e-02   3.206048e-11   0.000000e+00   4.010805e-12   48
  7.119574e-02   1.925584e-11   0.000000e+00   2.367037e-12   72
  7.153721e-02   2.681234e-11   0.000000e+00   2.607414e-12   96
  7.187706e-02   2.389899e-11   1.883801e-09   3.682807e-12   72
  7.221530e-02   2.661897e-11   0.000000e+00   2.893769e-12   72
  7.278398e-02   2.572014e-11   1.546684e-04   2.112673e-12   104
  7.322067e-02   2.304552e-11   1.332049e-09   1.755963e-12   144
  7.421242e-02   1.636759e-11   2.233913e-09   1.596241e-12   96
  7.454007e-02   1.482547e-11   0.000000e+00   1.543930e-12   96
  7.506116e-02   2.177350e-11   1.591194e-04   2.015841e-12   120
  7.551449e-02   1.871830e-11   0.000000e+00   1.664754e-12   120
  7.583651e-02   2.282392e-11   0.000000e+00   2.486588e-12   72
  7.647650e-02   2.480194e-11   0.000000e+00   3.298140e-12   48
  7.679449e-02   2.263193e-11   1.505926e-09   2.818875e-12   78
  7.720128e-02   2.439925e-11   1.424762e-04   1.979268e-12   168
  7.805350e-02   2.175057e-11   1.332049e-09   1.859155e-12   144
  7.836509e-02   2.535148e-11   1.332049e-09   1.869148e-12   144
  7.926883e-02   2.000236e-11   8.205478e-05   1.869780e-12   156
  7.959926e-02   1.697794e-11   1.730382e-09   3.475492e-12   48
  7.990483e-02   1.811511e-11   1.130281e-09   1.659203e-12   120
  8.020923e-02   1.166672e-11   0.000000e+00   1.198449e-12   48
  8.074745e-02   1.853469e-11   1.255998e-04   1.379537e-12   216
  8.141545e-02   1.316466e-11   0.000000e+00   1.506938e-12   48
  8.171422e-02   1.423386e-11   9.990364e-10   1.215291e-12   96
  8.213902e-02   1.610807e-11   1.467830e-04   1.449645e-12   168
