# power spectrum of chi
# redshift z=1.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  6.981317e-03   1.011519e-19   0.000000e+00   6.090619e-21   6
  9.873073e-03   6.806625e-19   0.000000e+00   1.397602e-19   12
  1.209200e-02   3.972113e-19   1.324548e-10   1.553151e-19   8
  1.396263e-02   2.938679e-20   0.000000e+00   4.329576e-21   6
  1.561070e-02   2.743497e-19   0.000000e+00   4.587884e-20   24
  1.710066e-02   2.550126e-19   2.497591e-10   4.087452e-20   24
  1.974615e-02   4.087665e-19   0.000000e+00   1.434251e-19   12
  2.094395e-02   3.321397e-19   2.825702e-10   4.458852e-20   30
  2.207686e-02   2.198389e-19   0.000000e+00   3.186890e-20   24
  2.315441e-02   2.383943e-19   4.325955e-10   4.887296e-20   24
  2.418399e-02   1.553273e-19   2.649095e-10   5.600027e-20   8
  2.517150e-02   1.705339e-19   3.532127e-10   3.476829e-20   24
  2.612170e-02   1.990592e-19   0.000000e+00   3.256596e-20   48
  2.792527e-02   6.764394e-20   0.000000e+00   1.731127e-20   6
  2.878471e-02   1.289503e-19   4.995182e-10   1.863208e-20   48
  2.961922e-02   1.455415e-19   0.000000e+00   2.742081e-20   36
  3.043086e-02   1.257582e-19   3.532127e-10   2.143130e-20   24
  3.122140e-02   1.704157e-19   0.000000e+00   3.215120e-20   24
  3.199241e-02   1.326624e-19   0.000000e+00   1.661152e-20   48
  3.274528e-02   1.831087e-19   4.995182e-10   2.099021e-20   24
  3.420133e-02   9.197293e-20   4.995182e-10   1.223815e-20   24
  3.490659e-02   8.710400e-20   0.000000e+00   1.305916e-20   30
  3.559787e-02   1.269067e-19   0.000000e+00   1.432751e-20   72
  3.627599e-02   8.266886e-20   5.298191e-10   1.315088e-20   32
  3.759554e-02   9.215275e-20   0.000000e+00   9.442766e-21   72
  3.823825e-02   6.698088e-20   0.000000e+00   1.045354e-20   48
  3.949229e-02   1.049624e-19   0.000000e+00   3.751134e-20   12
  4.010461e-02   7.858253e-20   0.000000e+00   1.126669e-20   48
  4.070772e-02   8.706202e-20   0.000000e+00   1.131918e-20   48
  4.130203e-02   9.413908e-20   4.995182e-10   1.476910e-20   48
  4.188790e-02   1.078673e-19   5.651403e-10   2.303017e-20   30
  4.246569e-02   7.753932e-20   4.995182e-10   1.040398e-20   24
  4.303573e-02   7.914105e-20   1.053077e-09   8.590510e-21   72
  4.415373e-02   8.070762e-20   0.000000e+00   2.434853e-20   24
  4.470224e-02   5.342882e-20   0.000000e+00   6.397228e-21   96
  4.524411e-02   5.942378e-20   0.000000e+00   9.334292e-21   48
  4.577956e-02   4.203215e-20   8.651909e-10   5.370095e-21   24
  4.630882e-02   8.784008e-20   8.651909e-10   1.499248e-20   24
  4.683210e-02   5.769832e-20   0.000000e+00   5.386737e-21   72
  4.734960e-02   3.632241e-20   0.000000e+00   4.924770e-21   48
  4.836798e-02   6.079536e-20   5.298191e-10   1.184164e-20   8
  4.886922e-02   5.576284e-20   6.279337e-10   5.933574e-21   54
  4.936537e-02   5.854575e-20   0.000000e+00   5.216395e-21   84
