# power spectrum of B
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  6.981317e-03   1.686057e-16   0.000000e+00   2.195198e-17   6
  9.873073e-03   2.289710e-16   0.000000e+00   4.192006e-17   12
  1.209200e-02   1.580394e-16   1.324548e-10   2.759581e-17   8
  1.396263e-02   5.029733e-16   0.000000e+00   1.175882e-16   6
  1.561070e-02   4.054197e-16   0.000000e+00   5.200135e-17   24
  1.710066e-02   3.489677e-16   2.497591e-10   5.790619e-17   24
  1.974615e-02   3.615006e-16   0.000000e+00   7.208788e-17   12
  2.094395e-02   4.019370e-16   2.825702e-10   5.383388e-17   30
  2.207686e-02   4.532968e-16   0.000000e+00   4.530272e-17   24
  2.315441e-02   3.518439e-16   4.325955e-10   5.233544e-17   24
  2.418399e-02   3.113115e-16   2.649095e-10   3.571833e-17   8
  2.517150e-02   3.148212e-16   3.532127e-10   3.732403e-17   24
  2.612170e-02   3.239466e-16   0.000000e+00   3.695098e-17   48
  2.792527e-02   5.433074e-16   0.000000e+00   4.809735e-17   6
  2.878471e-02   3.548455e-16   4.995182e-10   3.228159e-17   48
  2.961922e-02   3.050416e-16   0.000000e+00   4.503071e-17   36
  3.043086e-02   3.438036e-16   3.532127e-10   4.706905e-17   24
  3.122140e-02   2.387548e-16   0.000000e+00   1.616229e-17   24
  3.199241e-02   2.988146e-16   0.000000e+00   3.291450e-17   48
  3.274528e-02   2.723478e-16   4.995182e-10   5.449992e-17   24
  3.420133e-02   2.748290e-16   4.995182e-10   4.807518e-17   24
  3.490659e-02   2.905803e-16   0.000000e+00   3.127035e-17   30
  3.559787e-02   2.590679e-16   0.000000e+00   2.421916e-17   72
  3.627599e-02   2.190317e-16   5.298191e-10   2.314621e-17   32
  3.759554e-02   2.414247e-16   0.000000e+00   1.561627e-17   72
  3.823825e-02   2.596691e-16   0.000000e+00   2.409102e-17   48
  3.949229e-02   2.629014e-16   0.000000e+00   5.874764e-17   12
  4.010461e-02   2.747659e-16   0.000000e+00   2.331876e-17   48
  4.070772e-02   2.349760e-16   0.000000e+00   2.970194e-17   48
  4.130203e-02   2.358027e-16   4.995182e-10   2.182591e-17   48
  4.188790e-02   2.721212e-16   5.651403e-10   2.715458e-17   30
  4.246569e-02   1.782194e-16   4.995182e-10   1.412300e-17   24
  4.303573e-02   3.006555e-16   1.053077e-09   2.364184e-17   72
  4.415373e-02   1.726161e-16   0.000000e+00   1.823386e-17   24
  4.470224e-02   2.378629e-16   0.000000e+00   1.860418e-17   96
