# power spectrum of hij
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  6.981317e-03   1.887295e-18   0.000000e+00   4.125550e-19   6
  9.873073e-03   1.047121e-18   0.000000e+00   1.531325e-19   12
  1.209200e-02   9.914871e-19   1.324548e-10   2.204304e-19   8
  1.396263e-02   3.180280e-19   0.000000e+00   5.495737e-20   6
  1.561070e-02   5.708387e-19   0.000000e+00   7.255224e-20   24
  1.710066e-02   4.130569e-19   2.497591e-10   7.110401e-20   24
  1.974615e-02   2.581455e-19   0.000000e+00   3.400079e-20   12
  2.094395e-02   2.579602e-19   2.825702e-10   2.435057e-20   30
  2.207686e-02   1.695963e-19   0.000000e+00   1.316362e-20   24
  2.315441e-02   1.125100e-19   4.325955e-10   1.239296e-20   24
  2.418399e-02   1.560277e-19   2.649095e-10   2.698708e-20   8
  2.517150e-02   1.695950e-19   3.532127e-10   1.353399e-20   24
  2.612170e-02   1.268187e-19   0.000000e+00   8.221007e-21   48
  2.792527e-02   1.138517e-19   0.000000e+00   8.568399e-21   6
  2.878471e-02   8.228695e-20   4.995182e-10   6.966374e-21   48
  2.961922e-02   1.282819e-19   0.000000e+00   1.053130e-20   36
  3.043086e-02   1.039455e-19   3.532127e-10   8.150522e-21   24
  3.122140e-02   5.914216e-20   0.000000e+00   6.877194e-21   24
  3.199241e-02   7.456009e-20   0.000000e+00   5.978505e-21   48
  3.274528e-02   4.309312e-20   4.995182e-10   3.883345e-21   24
  3.420133e-02   5.032241e-20   4.995182e-10   7.326880e-21   24
  3.490659e-02   4.098564e-20   0.000000e+00   3.882168e-21   30
  3.559787e-02   4.629400e-20   0.000000e+00   3.612537e-21   72
  3.627599e-02   4.695488e-20   5.298191e-10   5.608065e-21   32
  3.759554e-02   4.302257e-20   0.000000e+00   2.894514e-21   72
  3.823825e-02   3.883034e-20   0.000000e+00   2.805441e-21   48
  3.949229e-02   3.430459e-20   0.000000e+00   5.299018e-21   12
  4.010461e-02   2.526252e-20   0.000000e+00   1.786576e-21   48
  4.070772e-02   1.892358e-20   0.000000e+00   1.821681e-21   48
  4.130203e-02   2.553424e-20   4.995182e-10   2.329498e-21   48
  4.188790e-02   2.848117e-20   5.651403e-10   5.105736e-21   30
  4.246569e-02   2.600220e-20   4.995182e-10   3.725032e-21   24
  4.303573e-02   2.289301e-20   1.053077e-09   1.614150e-21   72
  4.415373e-02   2.176969e-20   0.000000e+00   2.453356e-21   24
  4.470224e-02   1.823977e-20   0.000000e+00   1.187551e-21   96
  4.524411e-02   1.403473e-20   0.000000e+00   1.029123e-21   48
  4.577956e-02   1.939659e-20   8.651909e-10   2.224328e-21   24
  4.630882e-02   1.252942e-20   8.651909e-10   2.025557e-21   24
  4.683210e-02   1.498437e-20   0.000000e+00   9.984687e-22   72
  4.734960e-02   1.282200e-20   0.000000e+00   8.452530e-22   48
  4.836798e-02   1.345237e-20   5.298191e-10   2.830670e-21   8
  4.886922e-02   1.076249e-20   6.279337e-10   7.400233e-22   54
  4.936537e-02   1.139154e-20   0.000000e+00   9.083106e-22   84
  4.985658e-02   1.262994e-20   0.000000e+00   1.202277e-21   48
  5.034299e-02   1.512164e-20   7.064254e-10   1.598811e-21   24
  5.082475e-02   1.084209e-20   6.660243e-10   7.309405e-22   72
  5.130199e-02   1.100662e-20   0.000000e+00   6.780132e-22   96
  5.224339e-02   7.864484e-21   0.000000e+00   7.677646e-22   48
  5.270779e-02   8.284699e-21   0.000000e+00   6.070189e-22   48
  5.316813e-02   1.128522e-20   7.064254e-10   1.150780e-21   24
  5.362451e-02   7.931144e-21   0.000000e+00   5.219170e-22   72
  5.452583e-02   6.888554e-21   6.660243e-10   4.688326e-22   72
  5.497095e-02   8.578861e-21   0.000000e+00   6.064036e-22   96
  5.585054e-02   6.043657e-21   0.000000e+00   1.116361e-21   6
  5.628518e-02   7.877278e-21   0.000000e+00   4.686389e-22   96
  5.671649e-02   7.649664e-21   7.064254e-10   4.528093e-22   96
  5.714454e-02   5.437512e-21   0.000000e+00   5.967293e-22   24
  5.756941e-02   8.635361e-21   9.990364e-10   6.020578e-22   48
  5.799117e-02   7.607812e-21   0.000000e+00   4.638174e-22   96
  5.840989e-02   5.172510e-21   0.000000e+00   3.540544e-22   48
  5.923844e-02   6.299736e-21   0.000000e+00   5.340313e-22   36
  5.964840e-02   5.465432e-21   1.223565e-09   5.175651e-22   48
  6.005556e-02   4.877301e-21   1.384305e-09   2.805839e-22   120
  6.045998e-02   5.136400e-21   0.000000e+00   4.275039e-22   56
  6.086171e-02   6.228232e-21   7.064254e-10   6.562582e-22   24
  6.126081e-02   5.336078e-21   0.000000e+00   3.423426e-22   96
  6.165732e-02   6.927742e-21   0.000000e+00   6.947382e-22   48
  6.244280e-02   5.390687e-21   0.000000e+00   6.232162e-22   24
  6.283185e-02   3.982490e-21   0.000000e+00   2.684984e-22   102
  6.321851e-02   3.608781e-21   0.000000e+00   2.453792e-22   48
  6.360282e-02   4.013166e-21   0.000000e+00   3.441906e-22   72
  6.398483e-02   4.195013e-21   0.000000e+00   3.083929e-22   48
  6.436456e-02   3.628887e-21   0.000000e+00   3.992368e-22   48
  6.474207e-02   3.539438e-21   1.598458e-09   2.311117e-22   120
  6.549056e-02   2.922843e-21   9.990364e-10   2.143094e-22   24
  6.586161e-02   3.126434e-21   9.419006e-10   1.416112e-22   144
  6.623059e-02   3.235984e-21   1.130281e-09   1.731571e-22   120
  6.659752e-02   2.654337e-21   9.990364e-10   2.228754e-22   48
  6.732538e-02   3.370917e-21   9.990364e-10   3.554631e-22   48
  6.768638e-02   2.749871e-21   9.990364e-10   1.481243e-22   96
  6.863955e-02   3.008270e-21   1.675093e-04   1.929662e-22   72
  6.911151e-02   2.623179e-21   1.255867e-09   1.128904e-22   108
  6.946323e-02   2.642877e-21   0.000000e+00   1.888664e-22   72
  6.981317e-02   4.297331e-21   0.000000e+00   3.941319e-22   30
  7.016137e-02   2.347046e-21   0.000000e+00   1.096155e-22   168
  7.050785e-02   2.603068e-21   0.000000e+00   2.690068e-22   48
